,input,output
347,0.12193257775114075,0.39
348,0.5971970299643493,0.55
349,0.2142587426921294,0.36
350,0.4565974491409599,0.52
351,0.7393642642547551,0.67
352,0.44098588622109713,0.48
353,0.5551209172576086,0.46
354,0.974918215499052,0.75
355,0.12718478208847628,0.38
356,0.7355562140300557,0.6
357,0.690355047932396,0.58
358,0.35938326632698603,0.42
359,0.9087391123928712,0.68
360,0.6489748758932935,0.59
361,0.8386459086473436,0.6
362,0.34123971287422605,0.34
363,0.2035129076443879,0.38
364,0.86731931481551,0.64
365,0.6059848107756202,0.58
366,0.1741620378292601,0.41
367,0.3703221334985366,0.47
368,0.8760959999970145,0.62
369,0.2284066867150022,0.37
370,0.3247239367469771,0.42
371,0.7575176910436313,0.6
372,0.9784306711031757,0.69
373,0.5825451381373044,0.53
374,0.4843102992081256,0.44
375,0.08064844628318957,0.37
376,0.5005566749700987,0.5
377,0.7573008759913464,0.62
378,0.7973209913303562,0.67
379,0.408705223411742,0.47
380,0.8155341997955438,0.62
381,0.3033837462375213,0.43
382,0.04127171054232526,0.34
383,0.39251333590726545,0.37
384,0.7904459950038777,0.53
385,0.045659499804750925,0.38
386,0.03723765762260656,0.19
387,0.7056746849359906,0.66
388,0.5393007383052609,0.53
389,0.03239874220856309,0.32
390,0.995380447870375,0.72
391,0.270280671622669,0.42
392,0.3973903486041862,0.38
393,0.7604766262532895,0.63
394,0.7872569016384768,0.67
395,0.4052331731623363,0.38
396,0.3698728719547716,0.43
397,0.4054971362794655,0.47
398,0.4463348590819163,0.46
399,0.29047755357048477,0.46
400,0.05379963960223788,0.31
401,0.2606752657372855,0.38
402,0.9577989321956443,0.63
403,0.5529142996858846,0.58
404,0.5826386968626137,0.54
405,0.007721112827995369,0.34
406,0.8613015896985861,0.54
407,0.37159988233739516,0.45
408,0.19621100267818925,0.42
409,0.19203000073625287,0.38
410,0.5048787672624501,0.51
411,0.07334794095185582,0.39
412,0.3020031768186904,0.39
413,0.6953619198867776,0.58
414,0.19693662610012763,0.37
415,0.9470281353293752,0.67
416,0.958819881078117,0.74
417,0.9858710310810735,0.74
418,0.5567600116175436,0.55
419,0.7019882875820296,0.6
420,0.8998199283314805,0.63
421,0.8878562983600953,0.64
422,0.525733535633893,0.46
423,0.26094559369663106,0.4
424,0.9601289640831386,0.76
425,0.3544347529955253,0.39
426,0.6575262300560529,0.57
427,0.9064778774589382,0.73
428,0.9509254904758767,0.68
429,0.0004993033367249877,0.4
430,0.7221495062326168,0.66
431,0.7568150469084889,0.65
432,0.28825115780111377,0.36
433,0.6153503548775208,0.53
434,0.361887649034604,0.48
435,0.35142618744215426,0.38
436,0.2430671994734407,0.4
437,0.37143461887402607,0.42
438,0.3985274234591797,0.45
439,0.9360981610757879,0.63
440,0.021581944396538155,0.32
441,0.9788298133212349,0.66
442,0.2424151011323935,0.37
443,0.8710235349406774,0.73
444,0.485318011778584,0.42
445,0.7262340696276368,0.62
446,0.41035277121534175,0.42
447,0.45596007373988057,0.45
448,0.6828002871762919,0.6
449,0.2284059045282083,0.34
450,0.6761681329725422,0.63
451,0.6291162596801907,0.63
452,0.8898946326291601,0.64
453,0.417979715093614,0.49
454,0.7169212246106753,0.56
455,0.07700646667352151,0.25
456,0.9730856411831338,0.78
457,0.08000708906363596,0.29
458,0.7699369805870891,0.63
459,0.00026094998421866133,0.38
460,0.8525250983893106,0.58
461,0.1045200627018188,0.35
462,0.8893727847594994,0.73
463,0.9847023596954141,0.68
464,0.8998189333137044,0.64
465,0.6163306106855805,0.54
466,0.9560530215422016,0.65
467,0.21109314629322617,0.35
468,0.8480317543919855,0.65
469,0.4388046768905104,0.48
470,0.8862588164523073,0.65
471,0.8927876058970917,0.67
472,0.6157942013333456,0.51
473,0.14369743763322773,0.41
474,0.29060153011122614,0.43
475,0.10386989913935529,0.33
476,0.16153908541747797,0.47
477,0.5831142798148305,0.52
478,0.10609324719567614,0.38
479,0.5222584521622416,0.41
480,0.170536492888398,0.31
481,0.6302285522039419,0.57
482,0.3363795114961624,0.49
483,0.7168557624092996,0.63
484,0.7956537330632122,0.68
485,0.2995758089935213,0.43
486,0.6615367015846323,0.59
487,0.3083997654267421,0.51
488,0.9036424534067535,0.63
489,0.1624548655950725,0.42
490,0.11367575988810674,0.28
491,0.013803737249451054,0.43
492,0.10041783202374521,0.33
493,0.2666746761162917,0.41
494,0.668433696113814,0.68
495,0.3508852316572061,0.47
496,0.5071827897403495,0.58
497,0.9556528079674009,0.71
498,0.7980663245371895,0.76
499,0.9246072632996305,0.68
500,0.5631293417020733,0.43
501,0.21521115118746925,0.43
502,0.7877028768556547,0.62
503,0.8854383659087617,0.69
504,0.6593067288174268,0.51
505,0.5884300946628824,0.56
506,0.23459979747667625,0.39
507,0.30601238954307375,0.52
508,0.4446015955955033,0.51
509,0.5443514408447053,0.47
510,0.39224163564338765,0.42
511,0.03245800081996175,0.37
512,0.36978375793946916,0.38
513,0.9582910445582525,0.68
514,0.23834345216310537,0.43
515,0.2439494061897285,0.46
516,0.4388473982921376,0.46
517,0.9354048971602751,0.62
518,0.06212575047594804,0.35
519,0.16772121098150916,0.39
520,0.5795223927975469,0.58
521,0.5685193226089668,0.56
522,0.8418252092208163,0.66
523,0.2908755115315018,0.43
524,0.9931346582613189,0.77
525,0.8025003347391606,0.6
526,0.2950839112236303,0.45
527,0.5745850528577164,0.57
528,0.508575364124278,0.54
529,0.8604275398611757,0.7
530,0.9531498425834828,0.76
531,0.31086344952234357,0.38
532,0.5605528633426876,0.48
533,0.9528068646357561,0.71
534,0.7496717321439328,0.6
535,0.9969840607738573,0.71
536,0.36170665564246496,0.45
537,0.22590901748382153,0.42
538,0.38443296877991506,0.37
539,0.34978805899424803,0.41
540,0.641632288021589,0.62
541,0.5579553510827302,0.55
542,0.6125924549523649,0.55
